 source	source.label	source.image	target	target.label	target.image	edge
Q10987	Pollen source/honey	https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Bernhard_Albrecht_Moll_His_Crippled_Sister_Eleonore.jpg/192px-Bernhard_Albrecht_Moll_His_Crippled_Sister_Eleonore.jpg	Q1778821	Cusine	https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Bernhard_Albrecht_Moll_His_Crippled_Sister_Eleonore.jpg/192px-Bernhard_Albrecht_Moll_His_Crippled_Sister_Eleonore.jpg	connected to
Q1377087	Sweetner	https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Bernhard_Albrecht_Moll_His_Crippled_Sister_Eleonore.jpg/192px-Bernhard_Albrecht_Moll_His_Crippled_Sister_Eleonore.jpg	Q1778821	Cusine	https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Bernhard_Albrecht_Moll_His_Crippled_Sister_Eleonore.jpg/192px-Bernhard_Albrecht_Moll_His_Crippled_Sister_Eleonore.jpg	connected
Q35808	Fuelwood	https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Bernhard_Albrecht_Moll_His_Crippled_Sister_Eleonore.jpg/192px-Bernhard_Albrecht_Moll_His_Crippled_Sister_Eleonore.jpg	Q42501	Fuel	https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Bernhard_Albrecht_Moll_His_Crippled_Sister_Eleonore.jpg/192px-Bernhard_Albrecht_Moll_His_Crippled_Sister_Eleonore.jpg	connected
Q199182	Ornamental plant	https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Bernhard_Albrecht_Moll_His_Crippled_Sister_Eleonore.jpg/192px-Bernhard_Albrecht_Moll_His_Crippled_Sister_Eleonore.jpg	Q1724915	General	https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Bernhard_Albrecht_Moll_His_Crippled_Sister_Eleonore.jpg/192px-Bernhard_Albrecht_Moll_His_Crippled_Sister_Eleonore.jpg	connected
Q1778821	Cusine	https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Bernhard_Albrecht_Moll_His_Crippled_Sister_Eleonore.jpg/192px-Bernhard_Albrecht_Moll_His_Crippled_Sister_Eleonore.jpg	Q1813408	Melaleuca quinquenervia	https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Bernhard_Albrecht_Moll_His_Crippled_Sister_Eleonore.jpg/192px-Bernhard_Albrecht_Moll_His_Crippled_Sister_Eleonore.jpg	connected
Q473594	Earthoven lining	https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Bernhard_Albrecht_Moll_His_Crippled_Sister_Eleonore.jpg/192px-Bernhard_Albrecht_Moll_His_Crippled_Sister_Eleonore.jpg	Q1778821	Cusine	https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Bernhard_Albrecht_Moll_His_Crippled_Sister_Eleonore.jpg/192px-Bernhard_Albrecht_Moll_His_Crippled_Sister_Eleonore.jpg	connected
Q60739826	Food wrapping	https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Bernhard_Albrecht_Moll_His_Crippled_Sister_Eleonore.jpg/192px-Bernhard_Albrecht_Moll_His_Crippled_Sister_Eleonore.jpg	Q1778821	Cusine	https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Bernhard_Albrecht_Moll_His_Crippled_Sister_Eleonore.jpg/192px-Bernhard_Albrecht_Moll_His_Crippled_Sister_Eleonore.jpg	connected
